Time (s),CPU Utilization (%),Memory Usage (%),NIC Sent (bytes),NIC Received (bytes),Simulated Power Consumption (W)
1.32,100.0,87.0,79826876,175279813,50.0
2.39,100.0,87.4,79826876,175280001,50.0
3.65,100.0,87.6,79827456,175282108,50.0
4.87,100.0,87.6,79827846,175282607,50.0
6.11,100.0,87.4,79830556,175283698,50.0
7.31,100.0,87.3,79830713,175284056,50.0
8.45,100.0,87.3,79832057,175284945,50.0
9.66,100.0,87.3,79832496,175285947,50.0
10.93,100.0,87.2,79832496,175285947,50.0
12.40,100.0,87.2,79833989,175287733,50.0
13.62,100.0,87.2,79835361,175288181,50.0
14.82,100.0,87.2,79835783,175289002,50.0
16.09,100.0,87.2,79835976,175289431,50.0
17.69,100.0,87.1,79836345,175289911,50.0
19.48,100.0,87.0,79837330,175290825,50.0
21.54,100.0,87.1,79837487,175291247,50.0
22.82,100.0,87.1,79837695,175291247,50.0
24.72,100.0,87.1,79839428,175292907,50.0
26.16,100.0,86.7,79839747,175293079,50.0
27.52,100.0,86.7,79840291,175293595,50.0
